[17:30:06.772] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.789] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.805] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.824] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.839] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.856] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.873] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.890] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.906] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.924] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.941] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.956] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.973] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.725] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.740] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.756] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.775] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.790] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.806] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.823] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.840] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.856] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.873] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.890] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.906] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.923] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.940] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.956] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.973] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:07.990] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:08.006] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:08.023] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:08.040] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
