[17:30:06.322] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:08.658] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:08.674] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:08.691] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:08.708] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:08.725] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.210] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.226] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.241] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.259] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.276] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.292] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.309] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.326] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.342] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.358] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.376] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.392] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.409] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.426] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:0.0/yaw:-1.0/pitch:0.7/boost:no
[17:30:09.444] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.458] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.475] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.493] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.509] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.526] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.542] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.558] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.575] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.592] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.608] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.625] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:09.642] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
